No ,C,fcc,SP,W  ,FA,CA ,f
49,330,34.4,4.44,211.44,1130.83,569.67,23.44
50,335,34.4,4.45,197.51,1226.71,577.27,20.47
51,345,55.1,4.45,209.45,1209.11,569,31.85
52,345,55.1,4.39,192.54,1212.55,610.83,35.92
53,335,55.1,4.83,192.04,1247.68,587.14,35.13
54,340,55.1,4.02,190.05,1221.09,657.51,36.58
55,330,55.1,4.42,195.52,1167.55,588.17,39.97
56,345,34.4,3.96,205.47,1158.71,545.27,27.02
57,345,55.1,4.49,209.45,1106.94,596.04,39.79
58,345,34.4,4.83,209.45,1172.91,631.57,19.86
59,337.5,44.75,4.49,187.56,903.79,868.35,42.57
60,337.5,44.75,4.39,187.56,903.79,868.35,44.59
61,337.5,44.75,4.39,164.18,978.64,940.26,45.67
62,337.5,44.75,4.39,187.56,903.79,868.35,42.84
63,337.5,44.75,4.39,164.18,978.64,940.26,43.68
64,337.5,44.75,4.39,164.18,978.64,940.26,42.88
65,330,34.4,4.39,174.13,863.04,934.97,34.22
66,330,34.4,3.96,169.65,1025.19,873.31,29.63
67,345,34.4,3.96,183.08,949.97,809.23,32.31
68,345,34.4,4.83,174.63,889.31,963.42,29.19
69,330,55.1,4.83,152.74,1056.9,900.32,53.87
70,330,55.1,4.62,192.04,847.76,918.41,44.07
71,345,55.1,4.62,155.72,920.12,996.8,53.11
72,345,55.1,4.14,156.22,920.12,996.8,52.92
73,345,55.1,4.14,200,934.39,795.96,43.23
74,330,34.4,4.14,148.26,928.48,1005.85,33.46
75,330,34.4,4.62,189.55,946.75,806.49,29.33
76,345,34.4,4.62,159.2,1029.22,876.75,33.31
77,345,34.4,4.14,197.51,826.99,895.9,29
78,330,55.1,4.14,173.13,977.64,832.81,45.89
79,330,55.1,3.96,164.18,914.63,990.85,44.37
80,345,55.1,3.96,180.1,854.69,925.91,46.4
81,345,55.1,4.83,176.12,1010.96,861.18,47.37
82,337.5,44.75,4.83,165.17,978.39,940.02,42.92
83,337.5,44.75,4.39,187.06,903.79,868.35,44.01
84,337.5,44.75,4.39,187.06,903.79,868.35,42.09
85,337.5,44.75,4.39,165.17,978.39,940.02,42.55
86,337.5,44.75,4.39,165.17,978.39,940.02,41.75
87,337.5,44.75,4.39,187.06,903.79,868.35,42.62
88,330,34.4,4.39,173.63,863.52,935.48,33.1
89,330,34.4,3.96,168.16,1026,874,29.75
90,345,34.4,3.96,179.6,951.85,810.84,32.33
91,345,34.4,4.83,168.66,891.94,966.27,32.16
92,330,55.1,4.83,151.24,1057.7,901,51.57
93,330,55.1,4.62,181.59,852.78,923.84,47.62
94,345,55.1,4.62,154.23,921.07,997.83,48.18
95,345,55.1,4.14,189.55,940.3,801,46.41
96,330,34.4,4.14,142.79,931.34,1008.96,34.53
97,330,34.4,4.62,186.07,948.36,807.86,28.43
98,345,34.4,4.62,156.22,1031.1,878.35,33.09
99,345,34.4,4.14,196.02,827.94,896.94,29.06
100,330,55.1,4.14,175.62,976.3,831.66,48.6
101,330,55.1,3.96,162.19,983.55,837.84,50.22
102,330,55.1,3.96,163.18,915.1,991.36,43.65
103,345,55.1,3.96,170.15,859.46,931.08,51.11
104,345,55.1,4.83,175.12,1011.49,861.64,45.54

